Type,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Latest,Stock,Max,Diff%
Profit,630.0,2739.0,3170.0,3314.0,3766.0,4226.0,5012.0,5462.0,BAJAJHLDNG.NS,5462.0,0.0
Sales,6085.0,6621.0,6826.0,6743.0,13954.0,27717.0,28382.0,28560.0,INDUSTOWER.NS,28560.0,0.0
Profit,3580.0,3529.0,3553.0,3788.0,4757.0,8431.0,2759.0,3926.0,INDUSTOWER.NS,8431.0,53.43
Sales,912.0,1057.0,1203.0,1330.0,1581.0,2087.0,2017.0,2055.0,LALPATHLAB.NS,2087.0,1.53
Profit,237.0,261.0,301.0,310.0,394.0,475.0,344.0,380.0,LALPATHLAB.NS,475.0,20.0
Sales,1923.0,2751.0,2450.0,2358.0,3626.0,4298.0,4178.0,4921.0,MOTILALOFS.NS,4921.0,0.0
Profit,506.0,829.0,378.0,285.0,1458.0,1616.0,1242.0,1797.0,MOTILALOFS.NS,1797.0,0.0
Sales,1435.0,1735.0,1647.0,1192.0,1419.0,1533.0,1512.0,1388.0,NAM-INDIA.NS,1735.0,20.0
Profit,581.0,656.0,700.0,560.0,877.0,989.0,928.0,1083.0,NAM-INDIA.NS,1083.0,0.0
Sales,460.0,684.0,964.0,1150.0,1396.0,1421.0,1617.0,1768.0,EQUITASBNK.NS,1768.0,0.0
Profit,161.0,49.0,324.0,377.0,511.0,378.0,769.0,894.0,EQUITASBNK.NS,894.0,0.0
Sales,355379.0,421492.0,528158.0,483763.0,363950.0,589336.0,841756.0,816892.0,IOC.NS,841756.0,2.95
Profit,27956.0,34450.0,25927.0,-7177.0,30751.0,34289.0,15038.0,33144.0,IOC.NS,34450.0,3.79
Sales,5918.0,6322.0,7334.0,7315.0,8048.0,9512.0,9764.0,9683.0,MARICO.NS,9764.0,0.83
Profit,1149.0,1117.0,1257.0,1374.0,1523.0,1601.0,1743.0,1811.0,MARICO.NS,1811.0,0.0
Sales,259.0,260.0,300.0,398.0,391.0,367.0,514.0,550.0,MCX.NS,550.0,0.0
Profit,178.0,147.0,154.0,265.0,267.0,184.0,191.0,164.0,MCX.NS,267.0,38.58
Sales,82042.0,88083.0,100287.0,109464.0,111531.0,132669.0,176207.0,176105.0,NTPC.NS,176207.0,0.06
Profit,13426.0,16154.0,11255.0,21250.0,17390.0,22007.0,23917.0,25071.0,NTPC.NS,25071.0,0.0
Sales,2031.0,2978.0,4100.0,5321.0,4209.0,4225.0,3994.0,3986.0,PEL.NS,5321.0,25.09
Profit,1310.0,1964.0,2316.0,1982.0,3456.0,2405.0,5991.0,-1628.0,PEL.NS,5991.0,127.17
Sales,502.0,1480.0,2058.0,2549.0,3124.0,5133.0,7792.0,8333.0,ADANIGREEN.NS,8333.0,0.0
Profit,-184.0,-210.0,-585.0,-50.0,193.0,553.0,1426.0,1506.0,ADANIGREEN.NS,1506.0,0.0
Sales,2876.0,3944.0,7305.0,11416.0,9926.0,11258.0,13293.0,13825.0,ADANITRANS.NS,13825.0,0.0
Profit,532.0,1472.0,840.0,1107.0,1620.0,1700.0,1712.0,1853.0,ADANITRANS.NS,1853.0,0.0
Sales,4399.0,5847.0,6806.0,6669.0,6666.0,5576.0,6338.0,6168.0,BAJAJHIND.NS,6806.0,9.37
Profit,-98.0,-505.0,-134.0,-52.0,-294.0,-272.0,-138.0,-168.0,BAJAJHIND.NS,-52.0,-223.08
Sales,10435.0,11690.0,12085.0,9842.0,9716.0,11782.0,14929.0,15543.0,BOSCHLTD.NS,15543.0,0.0
Profit,2391.0,2041.0,2339.0,985.0,565.0,1500.0,1882.0,1977.0,BOSCHLTD.NS,2391.0,17.31
Sales,48552.0,54496.0,76190.0,72518.0,57372.0,92770.0,145668.0,140616.0,GAIL.NS,145668.0,3.47
Profit,5183.0,6928.0,9831.0,10429.0,7725.0,15464.0,7256.0,5309.0,GAIL.NS,15464.0,65.67
Sales,199.0,230.0,254.0,257.0,317.0,426.0,401.0,407.0,IEX.NS,426.0,4.46
Profit,174.0,200.0,232.0,228.0,282.0,400.0,389.0,396.0,IEX.NS,400.0,1.0
Sales,10891.0,10851.0,12167.0,13798.0,23439.0,22129.0,24717.0,26443.0,INDIANB.NS,26443.0,0.0
Profit,1060.0,1445.0,359.0,1377.0,3115.0,3253.0,5963.0,7049.0,INDIANB.NS,7049.0,0.0
Sales,68085.0,79809.0,86068.0,75660.0,70372.0,88330.0,117571.0,123398.0,MARUTI.NS,123398.0,0.0
Profit,10127.0,11167.0,10624.0,7103.0,5321.0,4697.0,10323.0,12207.0,MARUTI.NS,12207.0,0.0
Sales,25697.0,29954.0,35059.0,37744.0,39640.0,41616.0,45581.0,45724.0,POWERGRID.NS,45724.0,0.0
Profit,9457.0,13471.0,9147.0,14590.0,15501.0,19610.0,17702.0,17589.0,POWERGRID.NS,19610.0,10.31
Sales,233.0,292.0,516.0,600.0,690.0,1073.0,975.0,1000.0,ROSSARI.NS,1073.0,6.8
Profit,19.0,39.0,63.0,88.0,106.0,107.0,96.0,104.0,ROSSARI.NS,107.0,2.8
Sales,528.0,712.0,1009.0,1301.0,1043.0,1027.0,1648.0,1910.0,SBICARD.NS,1910.0,0.0
Profit,572.0,919.0,1335.0,1730.0,1324.0,2172.0,3031.0,2986.0,SBICARD.NS,3031.0,1.48
Sales,2012.0,2888.0,3775.0,4987.0,5050.0,10602.0,12096.0,12499.0,STARHEALTH.NS,12499.0,0.0
Profit,118.0,171.0,182.0,413.0,-1446.0,-1397.0,826.0,923.0,STARHEALTH.NS,923.0,0.0
Sales,16312.0,17378.0,21837.0,35756.0,38694.0,46240.0,53576.0,51718.0,UPL.NS,53576.0,3.47
Profit,1922.0,2305.0,1773.0,2764.0,4181.0,4966.0,5150.0,4024.0,UPL.NS,5150.0,21.86
Sales,2228.0,2657.0,3588.0,4592.0,4576.0,4298.0,5748.0,6624.0,CHOLAFIN.NS,6624.0,0.0
Profit,1107.0,1401.0,1832.0,1588.0,2048.0,2908.0,3615.0,3796.0,CHOLAFIN.NS,3796.0,0.0
Sales,12.3,20.05,20.66,17.66,177.54,19.22,,17.33,EQUITAS.NS,177.54,90.24
Profit,7.5,13.86,12.72,12.99,169.44,-61.02,,6.27,EQUITAS.NS,169.44,96.3
Sales,187493.0,219510.0,275491.0,269092.0,233248.0,349913.0,440709.0,438286.0,HINDPETRO.NS,440709.0,0.55
Profit,11197.0,10110.0,10039.0,1374.0,14197.0,9144.0,-9984.0,10894.0,HINDPETRO.NS,14197.0,23.27
Sales,18580.0,23021.0,28497.0,35756.0,14641.0,25931.0,54446.0,58274.0,INDIGO.NS,58274.0,0.0
Profit,2144.0,3127.0,-147.0,-256.0,-5818.0,-6154.0,-304.0,3851.0,INDIGO.NS,3851.0,0.0
Sales,545.0,647.0,761.0,856.0,998.0,1228.0,1148.0,1145.0,METROPOLIS.NS,1228.0,6.76
Profit,160.0,164.0,187.0,169.0,244.0,293.0,188.0,184.0,METROPOLIS.NS,293.0,37.2
Sales,1680.0,1889.0,2066.0,2121.0,2437.0,2866.0,2873.0,2857.0,SFL.NS,2873.0,0.56
Profit,178.0,193.0,189.0,256.0,324.0,296.0,273.0,275.0,SFL.NS,324.0,15.12
Sales,13261.0,16120.0,19779.0,21052.0,21644.0,28799.0,40575.0,43029.0,TITAN.NS,43029.0,0.0
Profit,973.0,1530.0,1957.0,2102.0,1327.0,2904.0,4447.0,4377.0,TITAN.NS,4447.0,1.57
Sales,1439.0,1571.0,1814.0,1986.0,2540.0,2752.0,2691.0,2721.0,VAIBHAVGBL.NS,2752.0,1.13
Profit,66.0,129.0,188.0,236.0,344.0,271.0,141.0,157.0,VAIBHAVGBL.NS,344.0,54.36
Sales,1252.0,1410.0,1785.0,1714.0,619.0,1290.0,2082.0,2128.0,VIPIND.NS,2128.0,0.0
Profit,126.0,190.0,215.0,148.0,-125.0,86.0,197.0,174.0,VIPIND.NS,215.0,19.07
Sales,143.0,193.0,255.0,356.0,458.0,478.0,591.0,643.0,AAVAS.NS,643.0,0.0
Profit,88.0,134.0,258.0,302.0,353.0,455.0,549.0,575.0,AAVAS.NS,575.0,0.0
Sales,36533.0,35924.0,40379.0,43403.0,39537.0,69420.0,136978.0,121572.0,ADANIENT.NS,136978.0,11.25
Profit,1079.0,487.0,459.0,1122.0,1086.0,952.0,3250.0,3696.0,ADANIENT.NS,3696.0,0.0
Sales,2572.0,2719.0,2918.0,2662.0,2421.0,3149.0,3802.0,3864.0,AKZOINDIA.NS,3864.0,0.0
Profit,337.0,478.0,316.0,323.0,278.0,367.0,456.0,500.0,AKZOINDIA.NS,500.0,0.0
Sales,95468.0,82639.0,80780.0,84676.0,100616.0,116547.0,139145.0,143780.0,BHARTIARTL.NS,143780.0,0.0
Profit,7723.0,3267.0,-1732.0,-43177.0,-3432.0,12483.0,16561.0,14822.0,BHARTIARTL.NS,16561.0,10.5
Sales,1009.0,1185.0,1352.0,1224.0,1224.0,1446.0,1804.0,1835.0,CERA.NS,1835.0,0.0
Profit,158.0,155.0,180.0,135.0,134.0,209.0,285.0,307.0,CERA.NS,307.0,0.0
Sales,191.0,241.0,393.0,419.0,512.0,685.0,936.0,890.0,CLEAN.NS,936.0,4.91
Profit,70.0,70.0,137.0,182.0,267.0,305.0,405.0,390.0,CLEAN.NS,405.0,3.7
Sales,7614.0,7722.0,8515.0,8685.0,9562.0,10889.0,11530.0,11838.0,DABUR.NS,11838.0,0.0
Profit,1611.0,1693.0,1725.0,1728.0,2056.0,2269.0,2219.0,2248.0,DABUR.NS,2269.0,0.93
Sales,7033.0,8965.0,9797.0,9154.0,8720.0,10298.0,14442.0,15031.0,EICHERMOT.NS,15031.0,0.0
Profit,2433.0,3116.0,3297.0,2355.0,1798.0,2203.0,3800.0,4219.0,EICHERMOT.NS,4219.0,0.0
Sales,2359.0,3062.0,3494.0,3446.0,3211.0,3724.0,3292.0,3696.0,JMFINANCIL.NS,3724.0,0.75
Profit,972.0,1165.0,1283.0,1094.0,1067.0,1348.0,953.0,924.0,JMFINANCIL.NS,1348.0,31.45
Sales,4053.0,4658.0,5424.0,5280.0,5074.0,6369.0,7543.0,7648.0,KANSAINER.NS,7648.0,0.0
Profit,765.0,787.0,697.0,667.0,712.0,476.0,635.0,1383.0,KANSAINER.NS,1383.0,0.0
Sales,1657.0,1797.0,2063.0,2395.0,2374.0,2859.0,3143.0,3339.0,RADICO.NS,3339.0,0.0
Profit,109.0,188.0,286.0,273.0,347.0,332.0,275.0,282.0,RADICO.NS,347.0,18.73
Sales,31578.0,26489.0,29066.0,32838.0,33498.0,38654.0,43886.0,45065.0,SUNPHARMA.NS,45065.0,0.0
Profit,9048.0,3479.0,3810.0,5010.0,2799.0,4481.0,9408.0,9605.0,SUNPHARMA.NS,9605.0,0.0
Sales,1371.0,1651.0,2700.0,4230.0,4360.0,6802.0,7972.0,7682.0,DEEPAKNTR.NS,7972.0,3.64
Profit,135.0,111.0,268.0,806.0,1042.0,1434.0,1146.0,1032.0,DEEPAKNTR.NS,1434.0,28.03
Sales,17367.0,15797.0,14665.0,15375.0,15163.0,16405.0,16642.0,17712.0,LUPIN.NS,17712.0,0.0
Profit,3543.0,547.0,1503.0,887.0,1676.0,-1372.0,716.0,1273.0,LUPIN.NS,3543.0,64.07
Sales,9054.0,9914.0,11055.0,11600.0,13136.0,14136.0,16301.0,16610.0,BRITANNIA.NS,16610.0,0.0
Profit,1304.0,1518.0,1768.0,1844.0,2514.0,2078.0,3033.0,3192.0,BRITANNIA.NS,3192.0,0.0
Sales,464.0,606.0,651.0,661.0,674.0,864.0,929.0,946.0,CAMS.NS,946.0,0.0
Profit,168.0,233.0,176.0,225.0,280.0,376.0,366.0,380.0,CAMS.NS,380.0,0.0
Sales,83773.0,92094.0,104721.0,75382.0,74278.0,90171.0,121269.0,126838.0,M&M.NS,126838.0,0.0
Profit,6350.0,10326.0,8871.0,1655.0,3158.0,9362.0,14060.0,15634.0,M&M.NS,15634.0,0.0
Sales,149115.0,146603.0,155867.0,161124.0,156010.0,156194.0,189981.0,206095.0,SBIN.NS,206095.0,0.0
Profit,945.0,-12245.0,5220.0,30317.0,32796.0,49739.0,75399.0,90341.0,SBIN.NS,90341.0,0.0
Sales,29596.0,29160.0,32506.0,50040.0,43201.0,38815.0,49942.0,55507.0,BANKBARODA.NS,55507.0,0.0
Profit,3024.0,-2106.0,1525.0,-1234.0,6373.0,10008.0,20573.0,23911.0,BANKBARODA.NS,23911.0,0.0
Sales,146.0,188.0,196.0,215.0,344.0,551.0,555.0,565.0,CDSL.NS,565.0,0.0
Profit,117.0,141.0,148.0,136.0,260.0,409.0,365.0,386.0,CDSL.NS,409.0,5.62
Sales,750.0,856.0,982.0,1074.0,1212.0,1347.0,1685.0,1753.0,ERIS.NS,1753.0,0.0
Profit,270.0,312.0,317.0,331.0,394.0,442.0,405.0,416.0,ERIS.NS,442.0,5.88
Sales,4658.0,4877.0,3892.0,3284.0,3302.0,4625.0,5787.0,5674.0,JPPOWER.NS,5787.0,1.95
Profit,-1748.0,-1867.0,-515.0,-1318.0,392.0,310.0,225.0,147.0,JPPOWER.NS,392.0,62.5
Sales,2803.0,2710.0,3167.0,3609.0,4261.0,4734.0,5140.0,5212.0,BAYERCROP.NS,5212.0,0.0
Profit,448.0,404.0,480.0,583.0,794.0,847.0,990.0,1014.0,BAYERCROP.NS,1014.0,0.0
Sales,402.0,540.0,649.0,863.0,1061.0,1269.0,1467.0,1516.0,CAPLIPOINT.NS,1516.0,0.0
Profit,121.0,188.0,227.0,269.0,314.0,386.0,451.0,473.0,CAPLIPOINT.NS,473.0,0.0
Sales,2488.0,2531.0,2695.0,2655.0,2881.0,3187.0,3406.0,3458.0,EMAMILTD.NS,3458.0,0.0
Profit,424.0,393.0,403.0,374.0,569.0,688.0,670.0,735.0,EMAMILTD.NS,735.0,0.0
Sales,1479.0,1620.0,2044.0,2633.0,3463.0,4401.0,3617.0,3644.0,GLAND.NS,4401.0,17.2
Profit,578.0,502.0,686.0,993.0,1335.0,1619.0,1048.0,994.0,GLAND.NS,1619.0,38.6
Sales,9268.0,9847.0,10314.0,9911.0,11029.0,12276.0,13316.0,13640.0,GODREJCP.NS,13640.0,0.0
Profit,1687.0,2039.0,2085.0,1760.0,2080.0,2155.0,2133.0,2158.0,GODREJCP.NS,2158.0,0.0
Sales,289.0,411.0,536.0,625.0,723.0,906.0,1073.0,1126.0,INDIGOPNTS.NS,1126.0,0.0
Profit,-18.0,2.0,34.0,67.0,98.0,114.0,156.0,171.0,INDIGOPNTS.NS,171.0,0.0
Sales,5816.0,5950.0,7673.0,7939.0,8005.0,8508.0,9620.0,9864.0,TORNTPHARM.NS,9864.0,0.0
Profit,1088.0,931.0,562.0,1187.0,1526.0,1226.0,1847.0,1846.0,TORNTPHARM.NS,1847.0,0.05
Sales,1393.0,1516.0,1957.0,2864.0,3072.0,2995.0,4421.0,4790.0,UJJIVAN.NS,4790.0,0.0
Profit,322.0,45.0,204.0,416.0,-319.0,-304.0,1531.0,1558.0,UJJIVAN.NS,1558.0,0.0
Sales,3941.0,4832.0,5398.0,5993.0,5900.0,5993.0,6210.0,6149.0,WHIRLPOOL.NS,6210.0,0.98
Profit,468.0,541.0,626.0,653.0,451.0,304.0,247.0,221.0,WHIRLPOOL.NS,653.0,66.16
Sales,8439.0,11323.0,10925.0,11873.0,12550.0,17119.0,20852.0,22041.0,ADANIPORTS.NS,22041.0,0.0
Profit,4179.0,5234.0,5126.0,4244.0,6292.0,5717.0,5489.0,6874.0,ADANIPORTS.NS,6874.0,0.0
Sales,100184.0,115183.0,130542.0,118144.0,132008.0,195059.0,223202.0,218175.0,HINDALCO.NS,223202.0,2.25
Profit,3315.0,8157.0,8083.0,5924.0,6206.0,19103.0,13241.0,10470.0,HINDALCO.NS,19103.0,45.19
Sales,252.0,296.0,337.0,426.0,385.0,372.0,476.0,511.0,TASTYBITE.NS,511.0,0.0
Profit,34.0,41.0,47.0,53.0,53.0,14.0,41.0,59.0,TASTYBITE.NS,59.0,0.0
Sales,2903.0,3298.0,3679.0,4093.0,4310.0,4913.0,5349.0,5524.0,ABBOTINDIA.NS,5524.0,0.0
Profit,436.0,621.0,699.0,803.0,926.0,1080.0,1274.0,1389.0,ABBOTINDIA.NS,1389.0,0.0
Sales,2474.0,2634.0,2931.0,3056.0,1708.0,2388.0,3452.0,3467.0,BATAINDIA.NS,3467.0,0.0
Profit,234.0,337.0,478.0,487.0,-117.0,140.0,430.0,414.0,BATAINDIA.NS,487.0,14.99
Sales,4552.0,5166.0,6062.0,6366.0,6818.0,8762.0,10568.0,10838.0,BERGEPAINT.NS,10838.0,0.0
Profit,703.0,705.0,765.0,883.0,979.0,1122.0,1162.0,1296.0,BERGEPAINT.NS,1296.0,0.0
Sales,1520.0,1466.0,1870.0,2264.0,777.0,1879.0,3541.0,3691.0,IRCTC.NS,3691.0,0.0
Profit,355.0,346.0,479.0,730.0,258.0,885.0,1354.0,1337.0,IRCTC.NS,1354.0,1.26
Sales,2277.0,2277.0,2841.0,3366.0,4577.0,5300.0,6492.0,6859.0,PIIND.NS,6859.0,0.0
Profit,510.0,466.0,538.0,614.0,938.0,1033.0,1444.0,1576.0,PIIND.NS,1576.0,0.0
Sales,27588.0,26840.0,29881.0,29136.0,32703.0,42816.0,55109.0,55827.0,TATAPOWER.NS,55827.0,0.0
Profit,1450.0,2773.0,3693.0,1958.0,1941.0,2535.0,5457.0,5870.0,TATAPOWER.NS,5870.0,0.0
Sales,73.0,121.0,606.0,584.0,574.0,948.0,912.0,854.0,VALIANTORG.NS,948.0,9.92
Profit,18.0,25.0,171.0,165.0,152.0,137.0,100.0,95.0,VALIANTORG.NS,171.0,44.44
Sales,2086.0,2326.0,2594.0,2503.0,2721.0,3500.0,4126.0,4322.0,VGUARD.NS,4322.0,0.0
Profit,204.0,180.0,220.0,250.0,288.0,294.0,256.0,270.0,VGUARD.NS,294.0,8.16
Sales,6434.0,6686.0,7934.0,8130.0,7730.0,8189.0,8088.0,8233.0,ZEEL.NS,8233.0,0.0
Profit,2901.0,2319.0,2434.0,956.0,1256.0,1416.0,471.0,255.0,ZEEL.NS,2901.0,91.21
Sales,2363.0,2556.0,2809.0,2765.0,2420.0,3078.0,3733.0,3821.0,3MINDIA.NS,3821.0,0.0
Profit,369.0,480.0,497.0,320.0,202.0,360.0,561.0,610.0,3MINDIA.NS,610.0,0.0
Sales,2616.0,3393.0,3488.0,4115.0,4101.0,5036.0,5087.0,5071.0,AVANTIFEED.NS,5087.0,0.31
Profit,337.0,704.0,428.0,485.0,510.0,324.0,427.0,484.0,AVANTIFEED.NS,704.0,31.25
Sales,3891.0,4123.0,5514.0,6300.0,7143.0,8184.0,11174.0,12457.0,BIOCON.NS,12457.0,0.0
Profit,850.0,610.0,1215.0,1186.0,1068.0,983.0,897.0,884.0,BIOCON.NS,1215.0,27.24
Sales,26776.0,38198.0,44928.0,50345.0,48583.0,49585.0,46638.0,45158.0,GICRE.NS,50345.0,10.3
Profit,3770.0,3630.0,3854.0,-366.0,3069.0,3755.0,8031.0,8159.0,GICRE.NS,8159.0,0.0
Sales,36068.0,55894.0,77200.0,68252.0,76404.0,95701.0,117627.0,120651.0,GRASIM.NS,120651.0,0.0
Profit,5952.0,5635.0,5163.0,6554.0,10009.0,13143.0,14727.0,14296.0,GRASIM.NS,14727.0,2.93
Sales,28610.0,32458.0,33971.0,29254.0,30959.0,29551.0,34158.0,34562.0,HEROMOTOCO.NS,34562.0,0.0
Profit,4885.0,5292.0,5104.0,4611.0,3849.0,3058.0,3864.0,4057.0,HEROMOTOCO.NS,5292.0,23.34
Sales,2410.0,2690.0,3175.0,3290.0,3043.0,2948.0,3448.0,3594.0,HONAUT.NS,3594.0,0.0
Profit,307.0,381.0,555.0,687.0,618.0,458.0,591.0,593.0,HONAUT.NS,687.0,13.68
Sales,2320.0,4503.0,4944.0,3271.0,1521.0,1445.0,587.0,631.0,IBREALEST.NS,4944.0,87.24
Profit,539.0,2694.0,844.0,378.0,75.0,-27.0,-563.0,-1196.0,IBREALEST.NS,2694.0,144.39
Sales,492068.0,522848.0,559986.0,615920.0,681605.0,720515.0,781543.0,802792.0,LICI.NS,802792.0,0.0
Profit,8573.0,9882.0,10425.0,9545.0,10895.0,11945.0,41700.0,50534.0,LICI.NS,50534.0,0.0
Sales,2129.0,2551.0,2852.0,2946.0,2833.0,3886.0,4789.0,4687.0,PAGEIND.NS,4789.0,2.13
Profit,395.0,518.0,606.0,462.0,453.0,709.0,758.0,694.0,PAGEIND.NS,758.0,8.44
Sales,5617.0,6078.0,7078.0,7294.0,7293.0,9921.0,11799.0,11973.0,PIDILITIND.NS,11973.0,0.0
Profit,1248.0,1359.0,1342.0,1470.0,1522.0,1614.0,1723.0,1894.0,PIDILITIND.NS,1894.0,0.0
Sales,44210.0,57496.0,66973.0,61664.0,69114.0,103477.0,104448.0,104778.0,SAIL.NS,104778.0,0.0
Profit,-4716.0,-527.0,3549.0,3302.0,7206.0,16292.0,2892.0,2133.0,SAIL.NS,16292.0,86.91
Sales,2119.0,2334.0,3086.0,3414.0,280.0,1331.0,3751.0,4075.0,PVRINOX.NS,4075.0,0.0
Profit,153.0,194.0,299.0,90.0,-939.0,-681.0,-209.0,-402.0,PVRINOX.NS,299.0,234.45
Sales,1237.0,1386.0,1597.0,1610.0,1826.0,2471.0,3145.0,3269.0,TATAELXSI.NS,3269.0,0.0
Profit,264.0,364.0,433.0,352.0,512.0,745.0,938.0,958.0,TATAELXSI.NS,958.0,0.0
